,id_x,hotel_id,overall_rating,value_rating,rooms_rating,location_rating,cleanliness_rating,service_rating,sleep_quality_rating,pic_num,tourism,mobile,review_date,helpful_count,owner_replied,id_y,hotel_name,city
1403,55462724,206760,2.0,1.0,2.0,4.0,2.0,1.0,2.0,0,solo,N,08/02/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1404,56983685,206760,5.0,4.0,4.0,4.0,5.0,5.0,4.0,0,business,N,24/02/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1405,57234627,206760,4.0,4.0,4.0,4.0,5.0,4.0,4.0,3,couple,N,27/02/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1406,58451994,206760,4.0,4.0,4.0,5.0,4.0,3.0,5.0,1,business,N,13/03/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1407,60532294,206760,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,business,N,06/04/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1408,61877311,206760,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,business,N,19/04/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1409,63953820,206760,4.0,3.0,5.0,3.0,5.0,5.0,4.0,0,couple,N,12/05/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1410,64262571,206760,4.0,3.0,3.0,4.0,4.0,4.0,4.0,0,couple,N,16/05/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1412,64716146,206760,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0,friends,N,19/05/2010,2,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1413,65036408,206760,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3,friends,N,23/05/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1414,65238867,206760,4.0,5.0,4.0,5.0,5.0,4.0,5.0,0,friends,N,24/05/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1415,66143622,206760,4.0,3.0,3.0,5.0,4.0,4.0,2.0,0,business,N,02/06/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1417,66690763,206760,4.0,3.0,3.0,4.0,4.0,3.0,4.0,0,solo,N,06/06/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1419,67353709,206760,4.0,3.0,3.0,2.0,5.0,4.0,3.0,0,business,N,13/06/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1420,67540055,206760,4.0,4.0,4.0,3.0,4.0,3.0,4.0,0,business,N,14/06/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1421,67558893,206760,5.0,5.0,5.0,5.0,5.0,5.0,4.0,2,family,N,15/06/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1422,68289050,206760,5.0,5.0,5.0,4.0,5.0,5.0,5.0,0,couple,N,22/06/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1423,68431749,206760,5.0,5.0,5.0,4.0,5.0,4.0,4.0,0,couple,N,23/06/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1424,69219208,206760,3.0,3.0,5.0,4.0,5.0,3.0,5.0,0,business,N,30/06/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1425,69403748,206760,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,business,N,01/07/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1426,69780154,206760,5.0,4.0,4.0,5.0,5.0,4.0,4.0,0,couple,N,05/07/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1427,70266314,206760,5.0,4.0,5.0,4.0,5.0,5.0,4.0,0,couple,N,09/07/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1428,70812025,206760,4.0,4.0,5.0,3.0,3.0,4.0,5.0,0,solo,N,13/07/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1429,70993771,206760,5.0,5.0,5.0,4.0,5.0,4.0,5.0,1,couple,N,15/07/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1430,71350081,206760,2.0,2.0,2.0,4.0,1.0,3.0,1.0,0,business,N,18/07/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1431,71351617,206760,4.0,3.0,4.0,5.0,4.0,5.0,5.0,0,solo,N,18/07/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1432,71594671,206760,4.0,5.0,4.0,4.0,4.0,5.0,4.0,0,couple,N,20/07/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1433,71826795,206760,3.0,2.0,3.0,4.0,4.0,3.0,4.0,0,business,N,21/07/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1434,72946204,206760,4.0,5.0,4.0,5.0,3.0,3.0,4.0,0,couple,N,29/07/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1435,73387223,206760,4.0,5.0,4.0,5.0,4.0,3.0,4.0,0,couple,N,02/08/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1436,73645578,206760,4.0,4.0,4.0,5.0,5.0,4.0,4.0,0,business,N,03/08/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1437,73967236,206760,3.0,3.0,3.0,5.0,3.0,3.0,4.0,0,business,N,05/08/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1438,74401052,206760,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3,friends,N,09/08/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1439,74704324,206760,4.0,5.0,4.0,5.0,5.0,4.0,5.0,0,couple,N,10/08/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1440,74752906,206760,4.0,4.0,3.0,5.0,5.0,1.0,5.0,0,couple,N,11/08/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1443,77066831,206760,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,business,N,27/08/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1444,77292526,206760,5.0,4.0,5.0,4.0,4.0,4.0,5.0,0,couple,N,28/08/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1445,77463949,206760,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,business,N,30/08/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1446,77591534,206760,5.0,5.0,4.0,5.0,4.0,5.0,5.0,0,couple,N,30/08/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1448,78749444,206760,3.0,4.0,2.0,3.0,3.0,3.0,3.0,0,couple,N,08/09/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1449,78771827,206760,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,business,N,08/09/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1450,78815464,206760,4.0,5.0,5.0,5.0,5.0,4.0,5.0,0,couple,N,08/09/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1451,79612881,206760,5.0,4.0,4.0,4.0,5.0,5.0,4.0,0,couple,N,15/09/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1452,79673805,206760,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4,couple,N,15/09/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1453,80774565,206760,5.0,4.0,5.0,4.0,4.0,4.0,4.0,0,couple,N,23/09/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1454,81700529,206760,4.0,4.0,4.0,3.0,5.0,5.0,3.0,0,business,N,01/10/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1455,81945330,206760,4.0,5.0,4.0,5.0,5.0,4.0,5.0,3,couple,N,03/10/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1457,84331775,206760,4.0,5.0,5.0,5.0,4.0,4.0,4.0,0,couple,N,21/10/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1458,86155446,206760,4.0,3.0,4.0,3.0,4.0,5.0,5.0,0,business,N,06/11/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1460,86640926,206760,5.0,4.0,5.0,4.0,5.0,5.0,5.0,0,family,N,10/11/2010,1,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1461,87657847,206760,4.0,3.0,3.0,3.0,4.0,4.0,4.0,0,business,N,20/11/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1464,88780083,206760,4.0,5.0,4.0,4.0,5.0,5.0,5.0,0,solo,N,01/12/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1465,89322248,206760,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,friends,N,08/12/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1466,89576618,206760,5.0,5.0,5.0,5.0,5.0,4.0,4.0,0,friends,N,11/12/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1468,89765941,206760,4.0,5.0,4.0,5.0,5.0,5.0,5.0,0,friends,N,13/12/2010,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
1469,91698967,206760,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,business,N,04/01/2011,0,N,206760,"Radisson Blu Royal Hotel, Helsinki",Helsinki
