,id_x,hotel_id,overall_rating,value_rating,rooms_rating,location_rating,cleanliness_rating,service_rating,sleep_quality_rating,pic_num,tourism,mobile,review_date,helpful_count,owner_replied,id_y,hotel_name,city
32,89182351,199068,4.0,3.0,4.0,5.0,5.0,4.0,4.0,0,family,N,06/12/2010,5,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
33,90041008,199068,5.0,4.0,3.0,5.0,5.0,4.0,4.0,0,family,N,16/12/2010,6,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
34,90365183,199068,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,family,N,20/12/2010,6,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
35,90579228,199068,5.0,5.0,4.0,5.0,5.0,5.0,5.0,8,family,N,23/12/2010,4,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
36,92906199,199068,3.0,4.0,3.0,5.0,5.0,5.0,5.0,0,couple,N,14/01/2011,5,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
37,95787110,199068,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,family,N,07/02/2011,6,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
39,107340372,199068,4.0,4.0,5.0,5.0,5.0,5.0,5.0,0,family,N,08/05/2011,0,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
42,121776860,199068,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,family,N,15/12/2011,3,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
43,121804995,199068,3.0,3.0,3.0,4.0,3.0,3.0,3.0,0,family,N,16/12/2011,3,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
44,121833877,199068,4.0,5.0,4.0,5.0,4.0,5.0,5.0,0,family,N,17/12/2011,1,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
45,121889474,199068,4.0,3.0,3.0,3.0,3.0,3.0,3.0,0,family,N,19/12/2011,0,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
46,121954923,199068,4.0,5.0,5.0,5.0,5.0,4.0,5.0,0,family,N,21/12/2011,0,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
47,122042551,199068,3.0,3.0,4.0,4.0,4.0,3.0,4.0,3,family,N,23/12/2011,0,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
48,122046341,199068,4.0,2.0,3.0,3.0,4.0,4.0,4.0,0,family,N,23/12/2011,1,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
50,122131056,199068,4.0,4.0,4.0,5.0,5.0,4.0,5.0,3,family,N,27/12/2011,0,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
51,122134848,199068,3.0,3.0,3.0,3.0,3.0,4.0,4.0,0,family,N,27/12/2011,0,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
52,122150082,199068,4.0,3.0,3.0,4.0,3.0,4.0,4.0,0,friends,N,27/12/2011,2,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
53,122173469,199068,4.0,4.0,3.0,5.0,4.0,4.0,2.0,0,family,N,28/12/2011,3,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
54,122234134,199068,4.0,5.0,3.0,4.0,4.0,4.0,3.0,1,family,N,29/12/2011,3,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
57,122757869,199068,4.0,4.0,4.0,5.0,5.0,5.0,4.0,0,family,N,08/01/2012,2,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
59,123901223,199068,5.0,4.0,4.0,5.0,4.0,5.0,4.0,0,family,N,31/01/2012,5,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
60,125677086,199068,3.0,3.0,4.0,4.0,3.0,1.0,3.0,0,couple,N,05/03/2012,4,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
61,135196048,199068,3.0,3.0,2.0,5.0,4.0,3.0,3.0,0,family,N,23/07/2012,7,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
62,146846733,199068,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4,family,N,05/12/2012,1,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
63,146905308,199068,4.0,4.0,4.0,5.0,5.0,5.0,5.0,0,family,N,06/12/2012,3,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
64,147623396,199068,3.0,3.0,4.0,4.0,4.0,3.0,3.0,0,family,N,17/12/2012,3,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
65,147846573,199068,5.0,4.0,3.0,5.0,4.0,5.0,5.0,6,couple,N,21/12/2012,2,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
66,148293421,199068,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0,family,N,29/12/2012,5,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
67,148305191,199068,4.0,5.0,3.0,5.0,5.0,4.0,4.0,0,family,N,29/12/2012,3,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
69,148781527,199068,4.0,4.0,5.0,5.0,5.0,5.0,4.0,2,family,N,04/01/2013,4,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
70,148890594,199068,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,family,N,05/01/2013,3,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
71,149249611,199068,4.0,4.0,3.0,5.0,3.0,4.0,5.0,0,family,N,09/01/2013,1,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
72,152524206,199068,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,friends,N,19/02/2013,4,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
74,187386554,199068,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0,family,N,11/12/2013,3,N,199068,Lapland Hotel Yllaskaltio,Akaslompolo
